City,County,Population Density,Land Area,Households with Under 18,Total Families,2000 Census,2010 Census,2014 Census
Afton,Lincoln,0.93,853.8066496,497,1040.41,1818,1911,1968
Albin,Laramie,0.1,7.685902049,37,74.87,120,181,185
Alpine,Lincoln,0.4,366.5988917,213,446.72,550,828,845
Baggs,Carbon,0.06,253.2403224,62,129.53,348,440,439
Bairoil,Sweetwater,0.01,29.4598297,18,33.7,97,106,107
Bar Nunn,Natrona,0.6,208.5732199,417,843.88,936,2213,2735
Basin,Big Horn,0.66,543.9513043,250,566.43,1238,1285,1312
Bear River,Uinta,0.33,66.04092655,98,179.24,,518,521
Big Piney,Sublette,0.31,710.4893573,186,384.8,408,552,538
Buffalo,Johnson,1.55,3115.5075,746,1819.5,3900,4585,4615
Burlington,Big Horn,0.17,137.6462142,63,143.34,250,288,332
Burns,Laramie,0.17,12.67135203,60,123.43,285,301,305
Byron,Big Horn,0.31,252.4895917,116,262.93,557,593,609
Casper,Natrona,11.16,3894.3091,7788,8756.32,32644,35316,40086
Cheyenne,Laramie,20.34,1500.1784,7158,14612.64,53011,59466,62845
Chugwater,Platte,0.17,84.44664041,39,103.56,244,212,216
Clearmont,Sheridan,0.09,18.04795251,25,57.55,115,142,142
Cody,Park,1.82,2998.95696,1403,3515.62,8835,9520,9740
Cokeville,Lincoln,0.26,235.1439045,137,286.54,506,535,542
Cowley,Big Horn,0.36,297.6806681,137,309.98,560,655,718
Dayton,Sheridan,0.48,100.9160162,141,321.81,678,757,794
Deaver,Big Horn,0.09,76.28585366,35,79.44,177,178,184
Diamondville,Lincoln,0.35,321.0451833,187,391.21,716,737,740
Dixon,Carbon,0.01,55.95515096,14,28.62,79,97,97
Douglas,Converse,1.46,1829.4651,832,1744.08,5288,6120,6423
Dubois,Fremont,0.21,437.0735045,244,506.29,962,971,998
East Thermopolis,Hot Springs,0.18,150.0841605,38,101.85,274,254,252
Edgerton,Natrona,0.04,15.17589424,30,61.4,169,195,199
Elk Mountain,Carbon,0.03,113.0640164,28,57.83,192,191,196
Evanston,Uinta,4.95,999.4971,1486,2712.64,11507,12359,12190
